Candidato,Método,Intención de voto (%),L. Inferior,L. Superior
Voto en Blanco,t-student - log,5.247868792220513,3.699552950281101,10.55150851181545
Ninguno,t-student - log,4.1385353033041445,2.4879567055622056,10.612943948852342
NS/NR,t-student - log,11.343316992680585,8.453048952242705,18.0239668837331
Dumek Turbay,BootPromedio-ICQ,35.24416333333333,32.016666666666666,39.5
José Osorio,BootPromedio-ICQ,2.9697716666666665,2.5,3.5
William Tirado,BootPromedio-ICQ,15.419386666666666,13.4,17.95
Javier Doria,BootPromedio-ICQ,1.270965,0.7,2
Javier Bejarano,BootPromedio-ICQ,8.35454,5.85,10.701666666666641
Richard Martínez,BootPromedio-ICQ,0.5839300000000001,0.03333333333333333,1.25
Fabio Aristizábal,BootPromedio-ICQ,2.767463333333333,0.2,7.366666666666666
Nausícrate Pérez,BootPromedio-ICQ,0.7980133333333334,0.19999999999999998,1.6166666666666667
Gustavo Martínez,BootPromedio-ICQ,0.815685,0.25,1.4833333333333334
Eduardo Villanueva,BootPromedio-ICQ,0.6517766666666667,0.16666666666666669,1.1833333333333333
Judith Flórez,BootPromedio-ICQ,9.200703333333333,7.55,10.8
Jacqueline Perea,BootPromedio-ICQ,2.891515,1.7666666666666666,4.1
Voto en Blanco,BootPromedio-ICQ,5.824966666666667,3.7316666666666682,7.733333333333333
Ninguno,BootPromedio-ICQ,4.5269025,2.6,6.475
NS/NR,BootPromedio-ICQ,11.61354,9,14.1
Dumek Turbay,BootPromedio-ICEE,35.24416333333333,31.418449415736884,39.06987725092978
José Osorio,BootPromedio-ICEE,2.9697716666666665,2.477202554805938,3.4623407785273947
William Tirado,BootPromedio-ICEE,15.419386666666666,13.136706984092116,17.702066349241218
Javier Doria,BootPromedio-ICEE,1.270965,0.6050189051721375,1.9369110948278623
Javier Bejarano,BootPromedio-ICEE,8.35454,5.8592684334454175,10.849811566554582
Richard Martínez,BootPromedio-ICEE,0.5839300000000001,-0.042515643577143325,1.2103756435771436
Fabio Aristizábal,BootPromedio-ICEE,2.767463333333333,-1.2829135830386176,6.817840249705284
Nausícrate Pérez,BootPromedio-ICEE,0.7980133333333334,0.07332387770078319,1.5227027889658835
Gustavo Martínez,BootPromedio-ICEE,0.815685,0.1833525512411075,1.4480174487588924
Eduardo Villanueva,BootPromedio-ICEE,0.6517766666666667,0.14391145024608898,1.1596418830872444
Judith Flórez,BootPromedio-ICEE,9.200703333333333,7.571437830913253,10.829968835753414
Jacqueline Perea,BootPromedio-ICEE,2.891515,1.719105924897451,4.063924075102549
Voto en Blanco,BootPromedio-ICEE,5.824966666666667,3.793343320837266,7.856590012496067
Ninguno,BootPromedio-ICEE,4.5269025,2.588513226757982,6.4652917732420185
NS/NR,BootPromedio-ICEE,11.61354,9.169954081219537,14.057125918780464
Dumek Turbay,BootMediana-ICQ,34.322415,31.15,40.5
José Osorio,BootMediana-ICQ,2.954505,2.35,3.55
William Tirado,BootMediana-ICQ,14.89771,13,18.75
Javier Doria,BootMediana-ICQ,1.0851,0.55,2.25
Javier Bejarano,BootMediana-ICQ,8.772005,4.25,11.5
Richard Martínez,BootMediana-ICQ,0.35592,0,1.65
Fabio Aristizábal,BootMediana-ICQ,1.0816,0,7.65
Nausícrate Pérez,BootMediana-ICQ,0.61429,0,1.8
Gustavo Martínez,BootMediana-ICQ,0.70535,0,1.7
Eduardo Villanueva,BootMediana-ICQ,0.58563,0,1.35
Judith Flórez,BootMediana-ICQ,9.276705,6.85,11.5
Jacqueline Perea,BootMediana-ICQ,2.7549,1.4,4.8
Voto en Blanco,BootMediana-ICQ,6.06309,2.8,8.5
Ninguno,BootMediana-ICQ,4.50866,1.8,7.3
NS/NR,BootMediana-ICQ,11.6507,8,15
Dumek Turbay,BootMáximo-ICQ,41.82673,35.2,45
José Osorio,BootMáximo-ICQ,3.7362599999999997,3,4.1
William Tirado,BootMáximo-ICQ,19.40716,15,21.1
Javier Doria,BootMáximo-ICQ,2.46512,1,3
Javier Bejarano,BootMáximo-ICQ,11.54613,10,12
Richard Martínez,BootMáximo-ICQ,1.66727,0.2,2
Fabio Aristizábal,BootMáximo-ICQ,9.76603,1,14
Nausícrate Pérez,BootMáximo-ICQ,2.04088,0.9,2.6
Gustavo Martínez,BootMáximo-ICQ,1.8821599999999998,1,2.3
